bibNumber,firstname,lastname,gender,phone,team
1,Doris,Davis,Female,5-(797)571-7125,16
2,Maria,Phillips,Male,1-(140)921-9108,20
3,Brian,Reyes,Female,1-(593)350-0306,14
4,Terry,Foster,Male,9-(090)044-5906,11
5,Annie,Bryant,Male,4-(495)545-5469,13
6,Jessica,Griffin,Male,9-(883)936-0346,15
7,Catherine,Harrison,Female,1-(228)065-7001,15
8,Irene,Armstrong,Male,8-(991)875-0163,16
9,Laura,Oliver,Male,2-(852)437-6253,15
10,Norma,Morrison,Male,8-(390)374-9543,10
11,Mary,Thompson,Male,2-(752)505-6187,8
12,Benjamin,Frazier,Male,9-(860)695-4404,19
13,Samuel,Bailey,Male,1-(012)657-7981,16
14,Christine,Ramirez,Male,3-(137)882-6159,6
15,Harry,Campbell,Female,2-(995)421-9746,5
16,Anne,Kennedy,Female,7-(108)418-1527,18
17,Nicholas,Lee,Male,6-(652)106-7022,8
18,Julia,Meyer,Male,8-(160)033-4970,9
19,Alan,Jenkins,Female,3-(544)594-2699,11
20,Emily,Owens,Male,7-(808)107-8378,10
21,Fred,Johnston,Male,4-(322)292-8576,2
22,Frances,Lewis,Female,9-(746)319-3485,16
23,Kathy,Wright,Female,9-(375)557-8790,11
24,Ryan,Nichols,Male,3-(716)553-9136,15
25,Joyce,Bennett,Male,0-(041)163-1471,15
26,Maria,Henderson,Male,1-(704)351-1125,20
27,Sarah,Porter,Male,5-(502)663-0408,13
28,Sean,Austin,Male,7-(257)540-4101,20
29,Todd,Holmes,Male,9-(375)349-0833,17
30,Norma,Chapman,Male,1-(149)814-4446,7
31,Henry,Riley,Male,2-(062)784-0402,5
32,Frank,Davis,Female,4-(919)370-4832,14
33,Jean,Jenkins,Male,7-(960)533-1060,6
34,Willie,Carr,Male,4-(392)424-2256,15
35,Ernest,Hanson,Male,7-(913)038-1147,10
36,Justin,Gray,Male,9-(080)395-4983,9
37,Louis,Carpenter,Male,6-(022)353-6896,7
38,Willie,Reynolds,Male,4-(674)858-3944,11
39,Adam,Robertson,Female,3-(300)275-1053,14
40,Patricia,Carter,Female,5-(188)083-7724,8
41,Roger,Gomez,Male,2-(024)621-6777,2
42,Bobby,Jones,Male,1-(420)296-3367,13
43,Pamela,Gray,Male,9-(231)125-9811,18
44,Robin,Riley,Female,3-(579)709-0355,18
45,Adam,Barnes,Female,6-(766)372-9859,10
46,Steve,Hall,Male,3-(263)114-7575,5
47,Carl,Henderson,Male,7-(514)981-7436,18
48,Ann,Dunn,Female,0-(154)125-3938,17
49,Douglas,Freeman,Female,3-(759)390-0372,20
50,Frances,Johnston,Female,7-(851)882-1314,19
