last_name,first_name,gender,phone,teamID
Fernandez,Howard,M,1-(721)068-5233,3
Webb,Timothy,M,1-(908)733-1029,5
Hamilton,Andrew,F,6-(752)935-8384,7
Gray,Ann,F,8-(854)557-0135,19
Morgan,Janet,F,0-(346)250-1628,13
Franklin,Doris,M,9-(191)491-3292,4
Banks,Kelly,M,7-(633)474-8608,13
Gibson,Marie,F,5-(494)979-0641,8
Perry,Earl,M,8-(560)151-4398,1
Warren,Russell,M,9-(541)198-5185,5
Knight,Pamela,M,6-(976)500-4417,12
Walker,Katherine,F,2-(183)914-9215,3
Perry,Beverly,M,8-(494)243-5841,3
Wallace,Sarah,M,0-(067)123-7852,12
Simmons,Stephen,F,3-(707)510-5578,19
Hamilton,Katherine,M,8-(355)357-8604,4
Powell,Kathryn,F,4-(163)276-3625,2
Davis,Jane,F,4-(461)389-9543,17
Morales,Maria,F,4-(800)772-7088,15
Foster,George,M,4-(281)603-3828,18
Cunningham,Clarence,F,3-(343)345-5835,20
Collins,Raymond,M,8-(242)773-6692,9
Romero,Julie,M,9-(659)862-8686,5
Martin,Andrea,F,9-(797)327-5115,13
Dunn,Victor,M,7-(963)554-3198,20
Sanchez,Roger,F,2-(469)004-8081,1
Sanders,Nicholas,M,1-(321)756-9330,8
Diaz,Jeremy,F,7-(744)229-2865,17
Matthews,Janice,F,6-(620)720-9110,2
Nelson,Nancy,F,0-(466)230-0594,5
Fowler,Julia,F,7-(038)196-0933,4
Martin,Aaron,F,2-(742)433-6159,4
Brown,Alice,F,6-(294)519-8443,8
Hill,Betty,F,5-(264)950-9833,9
Black,Stephen,F,8-(159)865-4042,18
Bowman,Ruby,F,1-(324)832-9650,14
Armstrong,Ruth,F,6-(300)604-6582,5
Banks,John,F,0-(051)464-8376,17
Russell,Terry,M,8-(262)550-1469,16
Johnson,Lois,F,1-(942)005-2157,17
Rose,Kathy,M,7-(928)292-9124,6
Flores,Jane,F,6-(467)619-4138,3
Cruz,Martin,F,7-(002)634-4560,16
West,Patrick,F,5-(627)279-6277,6
Fisher,Carl,F,2-(235)718-3240,14
Cox,Shawn,F,1-(585)693-0711,9
Carr,Teresa,M,0-(629)430-9457,10
Holmes,Linda,M,0-(245)755-8435,9
Bailey,Rachel,F,5-(216)129-0896,5
Sanchez,Kelly,M,3-(456)749-0301,13
